127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.137000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/js/web2py.js, HTTP/1.1, 200, 0.202000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/logos_header, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/logos_footer, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/images/gplus-32.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/images/facebook.png, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-12-18 17:59:17, GET, /cliente/01_conglomerado/index, HTTP/1.1, 200, 0.155000
127.0.0.1, 2014-12-18 17:59:17, GET, /cliente/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-12-18 17:59:28, GET, /cliente/10_conteo_aves/index2, HTTP/1.1, 200, 0.187000
127.0.0.1, 2014-12-18 17:59:29, GET, /cliente/10_conteo_aves/index2, HTTP/1.1, 200, 0.385000
127.0.0.1, 2014-12-18 17:59:29, GET, /cliente/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:02:44, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2014-12-18 18:02:44, GET, /welcome/default/index, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-12-18 18:02:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-18 18:02:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-18 18:03:07, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2014-12-18 18:03:07, GET, /welcome/default/index, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-12-18 18:03:13, GET, /cliente, HTTP/1.1, 200, 0.133000
127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:03:14, GET, /cliente/static/js/jquery.js, HTTP/1.1, 304, 0.002000
